account_id,account_type,account_identifier,owner_person_id,organization_id,status,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
ACC-000135,personal,SYN-ACCT-00000135,PER-007236,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-000324,wallet,SYN-ACCT-00000324,PER-029320,,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-000433,savings,SYN-ACCT-00000433,PER-023945,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-000543,wallet,SYN-ACCT-00000543,PER-017976,ORG-03279,active,true,SYNTHETIC,,,MEDIUM,
ACC-001157,savings,SYN-ACCT-00001157,PER-027179,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-001640,savings,SYN-ACCT-00001640,PER-006463,,active,true,SYNTHETIC,,,MEDIUM,
ACC-001760,wallet,SYN-ACCT-00001760,PER-019374,ORG-00912,active,true,SYNTHETIC,,,MEDIUM,
ACC-002421,business,SYN-ACCT-00002421,PER-018958,,active,true,SYNTHETIC,,,MEDIUM,
ACC-002699,wallet,SYN-ACCT-00002699,PER-046863,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-002729,business,SYN-ACCT-00002729,PER-033964,,active,true,SYNTHETIC,,,MEDIUM,
ACC-002848,current,SYN-ACCT-00002848,PER-040352,,active,true,SYNTHETIC,,,MEDIUM,
ACC-003069,business,SYN-ACCT-00003069,PER-022852,,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-003139,personal,SYN-ACCT-00003139,PER-009628,,active,true,SYNTHETIC,,,MEDIUM,
ACC-003291,savings,SYN-ACCT-00003291,PER-021845,,active,true,SYNTHETIC,,,MEDIUM,
ACC-004080,personal,SYN-ACCT-00004080,PER-000626,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-005025,savings,SYN-ACCT-00005025,PER-028203,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-005115,business,SYN-ACCT-00005115,PER-049391,ORG-03349,active,true,SYNTHETIC,,,MEDIUM,
ACC-006207,current,SYN-ACCT-00006207,PER-010137,,active,true,SYNTHETIC,,,MEDIUM,
ACC-006224,current,SYN-ACCT-00006224,PER-021845,ORG-00237,active,true,SYNTHETIC,,,MEDIUM,
ACC-006363,wallet,SYN-ACCT-00006363,PER-003233,,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-006436,savings,SYN-ACCT-00006436,PER-011658,,active,true,SYNTHETIC,,,MEDIUM,
ACC-006622,savings,SYN-ACCT-00006622,PER-035454,,active,true,SYNTHETIC,,,MEDIUM,
