phone_id,phone_number,phone_type,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
PH-000044,+919900000044,mobile,true,SYNTHETIC,,,MEDIUM,
PH-000476,+919900000476,secondary,true,SYNTHETIC,,,MEDIUM,
PH-000587,+919900000587,virtual,true,SYNTHETIC,,,MEDIUM,
PH-001049,+919900001049,mobile,true,SYNTHETIC,,,MEDIUM,
PH-001152,+919900001152,secondary,true,SYNTHETIC,,,MEDIUM,
PH-001187,+919900001187,business,true,SYNTHETIC,,,MEDIUM,
PH-001748,+919900001748,mobile,true,SYNTHETIC,,,MEDIUM,
PH-002163,+919900002163,secondary,true,SYNTHETIC,,,MEDIUM,
PH-002283,+919900002283,virtual,true,SYNTHETIC,,,MEDIUM,
PH-002316,+919900002316,mobile,true,SYNTHETIC,,,MEDIUM,
PH-002321,+919900002321,mobile,true,SYNTHETIC,,,MEDIUM,
PH-002498,+919900002498,virtual,true,SYNTHETIC,,,MEDIUM,
PH-003056,+919900003056,business,true,SYNTHETIC,,,MEDIUM,
PH-003346,+919900003346,business,true,SYNTHETIC,,,MEDIUM,
PH-003763,+919900003763,secondary,true,SYNTHETIC,,,MEDIUM,
PH-004032,+919900004032,mobile,true,SYNTHETIC,,,MEDIUM,
PH-004060,+919900004060,secondary,true,SYNTHETIC,,,MEDIUM,
PH-004238,+919900004238,secondary,true,SYNTHETIC,,,MEDIUM,
PH-004465,+919900004465,virtual,true,SYNTHETIC,,,MEDIUM,
PH-004497,+919900004497,mobile,true,SYNTHETIC,,,MEDIUM,
PH-005467,+919900005467,virtual,true,SYNTHETIC,,,MEDIUM,
PH-006520,+919900006520,business,true,SYNTHETIC,,,MEDIUM,
PH-006693,+919900006693,secondary,true,SYNTHETIC,,,MEDIUM,
PH-006958,+919900006958,business,true,SYNTHETIC,,,MEDIUM,
PH-007197,+919900007197,secondary,true,SYNTHETIC,,,MEDIUM,
PH-007675,+919900007675,business,true,SYNTHETIC,,,MEDIUM,
PH-007808,+919900007808,mobile,true,SYNTHETIC,,,MEDIUM,
PH-007841,+919900007841,mobile,true,SYNTHETIC,,,MEDIUM,
PH-008524,+919900008524,secondary,true,SYNTHETIC,,,MEDIUM,
PH-008856,+919900008856,virtual,true,SYNTHETIC,,,MEDIUM,
PH-008899,+919900008899,business,true,SYNTHETIC,,,MEDIUM,
PH-008968,+919900008968,virtual,true,SYNTHETIC,,,MEDIUM,
PH-008998,+919900008998,secondary,true,SYNTHETIC,,,MEDIUM,
PH-009119,+919900009119,mobile,true,SYNTHETIC,,,MEDIUM,
PH-009651,+919900009651,mobile,true,SYNTHETIC,,,MEDIUM,
PH-009798,+919900009798,mobile,true,SYNTHETIC,,,MEDIUM,
PH-009893,+919900009893,business,true,SYNTHETIC,,,MEDIUM,
PH-010528,+919900010528,mobile,true,SYNTHETIC,,,MEDIUM,
PH-011073,+919900011073,business,true,SYNTHETIC,,,MEDIUM,
PH-011524,+919900011524,virtual,true,SYNTHETIC,,,MEDIUM,
PH-011535,+919900011535,business,true,SYNTHETIC,,,MEDIUM,
PH-012297,+919900012297,mobile,true,SYNTHETIC,,,MEDIUM,
PH-012417,+919900012417,business,true,SYNTHETIC,,,MEDIUM,
PH-012599,+919900012599,secondary,true,SYNTHETIC,,,MEDIUM,
PH-013083,+919900013083,secondary,true,SYNTHETIC,,,MEDIUM,
PH-013960,+919900013960,mobile,true,SYNTHETIC,,,MEDIUM,
PH-014150,+919900014150,business,true,SYNTHETIC,,,MEDIUM,
PH-014760,+919900014760,secondary,true,SYNTHETIC,,,MEDIUM,
PH-014809,+919900014809,business,true,SYNTHETIC,,,MEDIUM,
PH-014810,+919900014810,secondary,true,SYNTHETIC,,,MEDIUM,
PH-014885,+919900014885,business,true,SYNTHETIC,,,MEDIUM,
PH-015261,+919900015261,mobile,true,SYNTHETIC,,,MEDIUM,
PH-015765,+919900015765,business,true,SYNTHETIC,,,MEDIUM,
PH-015891,+919900015891,secondary,true,SYNTHETIC,,,MEDIUM,
PH-016178,+919900016178,virtual,true,SYNTHETIC,,,MEDIUM,
PH-016818,+919900016818,business,true,SYNTHETIC,,,MEDIUM,
PH-017380,+919900017380,virtual,true,SYNTHETIC,,,MEDIUM,
PH-017816,+919900017816,virtual,true,SYNTHETIC,,,MEDIUM,
PH-017832,+919900017832,business,true,SYNTHETIC,,,MEDIUM,
PH-017894,+919900017894,mobile,true,SYNTHETIC,,,MEDIUM,
PH-018170,+919900018170,virtual,true,SYNTHETIC,,,MEDIUM,
PH-018803,+919900018803,mobile,true,SYNTHETIC,,,MEDIUM,
PH-019503,+919900019503,business,true,SYNTHETIC,,,MEDIUM,
PH-020355,+919900020355,business,true,SYNTHETIC,,,MEDIUM,
PH-021375,+919900021375,business,true,SYNTHETIC,,,MEDIUM,
PH-021379,+919900021379,business,true,SYNTHETIC,,,MEDIUM,
PH-021726,+919900021726,mobile,true,SYNTHETIC,,,MEDIUM,
PH-022544,+919900022544,mobile,true,SYNTHETIC,,,MEDIUM,
PH-022609,+919900022609,virtual,true,SYNTHETIC,,,MEDIUM,
PH-022782,+919900022782,secondary,true,SYNTHETIC,,,MEDIUM,
PH-022831,+919900022831,mobile,true,SYNTHETIC,,,MEDIUM,
PH-023665,+919900023665,business,true,SYNTHETIC,,,MEDIUM,
PH-024038,+919900024038,virtual,true,SYNTHETIC,,,MEDIUM,
PH-024107,+919900024107,secondary,true,SYNTHETIC,,,MEDIUM,
PH-024342,+919900024342,business,true,SYNTHETIC,,,MEDIUM,
PH-024697,+919900024697,mobile,true,SYNTHETIC,,,MEDIUM,
PH-024970,+919900024970,business,true,SYNTHETIC,,,MEDIUM,
PH-025176,+919900025176,virtual,true,SYNTHETIC,,,MEDIUM,
PH-025856,+919900025856,mobile,true,SYNTHETIC,,,MEDIUM,
PH-026468,+919900026468,mobile,true,SYNTHETIC,,,MEDIUM,
PH-026682,+919900026682,secondary,true,SYNTHETIC,,,MEDIUM,
PH-026778,+919900026778,business,true,SYNTHETIC,,,MEDIUM,
PH-027683,+919900027683,secondary,true,SYNTHETIC,,,MEDIUM,
PH-027742,+919900027742,virtual,true,SYNTHETIC,,,MEDIUM,
PH-027902,+919900027902,secondary,true,SYNTHETIC,,,MEDIUM,
PH-027974,+919900027974,business,true,SYNTHETIC,,,MEDIUM,
PH-028666,+919900028666,virtual,true,SYNTHETIC,,,MEDIUM,
PH-028696,+919900028696,secondary,true,SYNTHETIC,,,MEDIUM,
PH-028720,+919900028720,business,true,SYNTHETIC,,,MEDIUM,
PH-029381,+919900029381,business,true,SYNTHETIC,,,MEDIUM,
