account_id,account_type,account_identifier,owner_person_id,organization_id,status,data_origin,source_dataset,source_record_reference,Synthetic_Flag,Source_Dataset,Generation_Batch_ID,Confidence_Level,Provenance_Mode,Audit_Reference
ACC-000001,savings,SYN-ACCT-00000001,PER-025820,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000001
ACC-000002,current,SYN-ACCT-00000002,PER-022332,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000002
ACC-000003,wallet,SYN-ACCT-00000003,PER-017045,ORG-03219,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000003
ACC-000004,business,SYN-ACCT-00000004,PER-015867,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000004
ACC-000005,personal,SYN-ACCT-00000005,PER-026002,ORG-00407,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000005
ACC-000006,current,SYN-ACCT-00000006,,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000006
ACC-000007,personal,SYN-ACCT-00000007,PER-005514,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000007
ACC-000008,personal,SYN-ACCT-00000008,PER-011251,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000008
ACC-000009,current,SYN-ACCT-00000009,PER-046549,ORG-03661,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000009
ACC-000010,personal,SYN-ACCT-00000010,PER-004433,,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000010
ACC-000011,wallet,SYN-ACCT-00000011,PER-016404,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000011
ACC-000012,savings,SYN-ACCT-00000012,PER-007500,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000012
ACC-000013,wallet,SYN-ACCT-00000013,PER-015885,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000013
ACC-000014,business,SYN-ACCT-00000014,PER-007695,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000014
ACC-000015,wallet,SYN-ACCT-00000015,PER-036085,ORG-00733,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000015
ACC-000016,savings,SYN-ACCT-00000016,PER-004720,ORG-00271,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000016
ACC-000017,current,SYN-ACCT-00000017,PER-014193,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000017
ACC-000018,current,SYN-ACCT-00000018,PER-031215,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000018
ACC-000019,personal,SYN-ACCT-00000019,PER-006041,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000019
ACC-000020,wallet,SYN-ACCT-00000020,PER-002920,,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000020
ACC-000021,business,SYN-ACCT-00000021,PER-003395,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000021
ACC-000022,business,SYN-ACCT-00000022,PER-015344,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000022
ACC-000023,savings,SYN-ACCT-00000023,PER-028559,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000023
ACC-000024,current,SYN-ACCT-00000024,PER-007597,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000024
ACC-000025,wallet,SYN-ACCT-00000025,PER-029274,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000025
ACC-000026,savings,SYN-ACCT-00000026,PER-028380,,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000026
ACC-000027,savings,SYN-ACCT-00000027,PER-006158,,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000027
ACC-000028,personal,SYN-ACCT-00000028,PER-023325,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000028
ACC-000029,business,SYN-ACCT-00000029,PER-020933,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000029
ACC-000030,savings,SYN-ACCT-00000030,PER-029632,,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000030
ACC-000031,wallet,SYN-ACCT-00000031,PER-034249,,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000031
ACC-000032,current,SYN-ACCT-00000032,PER-008229,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000032
ACC-000033,business,SYN-ACCT-00000033,PER-011560,,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000033
ACC-000034,current,SYN-ACCT-00000034,PER-048257,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000034
ACC-000035,business,SYN-ACCT-00000035,PER-024001,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000035
ACC-000036,personal,SYN-ACCT-00000036,PER-005518,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000036
ACC-000037,personal,SYN-ACCT-00000037,PER-013157,,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000037
ACC-000038,wallet,SYN-ACCT-00000038,,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000038
ACC-000039,current,SYN-ACCT-00000039,PER-048490,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000039
ACC-000040,current,SYN-ACCT-00000040,PER-044482,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000040
ACC-000041,personal,SYN-ACCT-00000041,PER-003603,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000041
ACC-000042,wallet,SYN-ACCT-00000042,PER-014681,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000042
ACC-000043,savings,SYN-ACCT-00000043,PER-028669,,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000043
ACC-000044,current,SYN-ACCT-00000044,PER-019164,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000044
ACC-000045,savings,SYN-ACCT-00000045,PER-045478,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000045
ACC-000046,personal,SYN-ACCT-00000046,PER-048893,ORG-02229,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000046
ACC-000047,current,SYN-ACCT-00000047,PER-031495,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000047
ACC-000048,business,SYN-ACCT-00000048,PER-021029,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000048
ACC-000049,current,SYN-ACCT-00000049,PER-037996,ORG-03736,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000049
ACC-000050,current,SYN-ACCT-00000050,PER-047220,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000050
ACC-000051,business,SYN-ACCT-00000051,PER-026639,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000051
ACC-000052,personal,SYN-ACCT-00000052,PER-023244,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000052
ACC-000053,personal,SYN-ACCT-00000053,PER-045256,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000053
ACC-000054,wallet,SYN-ACCT-00000054,PER-019575,ORG-04391,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000054
ACC-000055,savings,SYN-ACCT-00000055,PER-019489,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000055
ACC-000056,personal,SYN-ACCT-00000056,PER-035632,,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000056
ACC-000057,wallet,SYN-ACCT-00000057,,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000057
ACC-000058,wallet,SYN-ACCT-00000058,PER-044191,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000058
ACC-000059,savings,SYN-ACCT-00000059,PER-044391,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000059
ACC-000060,wallet,SYN-ACCT-00000060,PER-015205,ORG-04529,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000060
ACC-000061,personal,SYN-ACCT-00000061,PER-013887,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000061
ACC-000062,current,SYN-ACCT-00000062,PER-044140,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000062
ACC-000063,wallet,SYN-ACCT-00000063,PER-047153,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000063
ACC-000064,savings,SYN-ACCT-00000064,PER-023024,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000064
ACC-000065,current,SYN-ACCT-00000065,PER-038539,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000065
ACC-000066,current,SYN-ACCT-00000066,PER-003666,ORG-04438,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000066
ACC-000067,wallet,SYN-ACCT-00000067,PER-016264,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000067
ACC-000068,savings,SYN-ACCT-00000068,PER-046368,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000068
ACC-000069,savings,SYN-ACCT-00000069,PER-008973,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000069
ACC-000070,savings,SYN-ACCT-00000070,PER-017206,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000070
ACC-000071,business,SYN-ACCT-00000071,PER-001861,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000071
ACC-000072,current,SYN-ACCT-00000072,PER-045631,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000072
ACC-000073,business,SYN-ACCT-00000073,PER-024176,ORG-02071,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000073
ACC-000074,business,SYN-ACCT-00000074,PER-019325,ORG-03148,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000074
ACC-000075,personal,SYN-ACCT-00000075,PER-039028,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000075
ACC-000076,business,SYN-ACCT-00000076,PER-027172,ORG-03550,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000076
ACC-000077,wallet,SYN-ACCT-00000077,,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000077
ACC-000078,savings,SYN-ACCT-00000078,PER-044118,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000078
ACC-000079,savings,SYN-ACCT-00000079,PER-034334,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000079
ACC-000080,savings,SYN-ACCT-00000080,PER-032512,,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000080
ACC-000081,savings,SYN-ACCT-00000081,PER-039171,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000081
ACC-000082,personal,SYN-ACCT-00000082,PER-016307,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000082
ACC-000083,business,SYN-ACCT-00000083,PER-046412,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000083
ACC-000084,personal,SYN-ACCT-00000084,PER-010374,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000084
ACC-000085,savings,SYN-ACCT-00000085,PER-044608,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000085
ACC-000086,business,SYN-ACCT-00000086,PER-021280,ORG-01527,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000086
ACC-000087,savings,SYN-ACCT-00000087,PER-024431,ORG-01975,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000087
ACC-000088,personal,SYN-ACCT-00000088,PER-016730,ORG-00174,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000088
ACC-000089,current,SYN-ACCT-00000089,PER-000748,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000089
ACC-000090,wallet,SYN-ACCT-00000090,,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000090
ACC-000091,savings,SYN-ACCT-00000091,PER-044874,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000091
ACC-000092,savings,SYN-ACCT-00000092,PER-018693,,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000092
ACC-000093,personal,SYN-ACCT-00000093,PER-042686,,dormant,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000093
ACC-000094,wallet,SYN-ACCT-00000094,PER-043873,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000094
ACC-000095,personal,SYN-ACCT-00000095,PER-045009,ORG-03026,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000095
ACC-000096,personal,SYN-ACCT-00000096,PER-035902,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000096
ACC-000097,savings,SYN-ACCT-00000097,PER-013775,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000097
ACC-000098,current,SYN-ACCT-00000098,PER-000926,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000098
ACC-000099,business,SYN-ACCT-00000099,PER-016272,,active,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000099
ACC-000100,current,SYN-ACCT-00000100,PER-010870,,closed,SYNTHETIC,,,true,,,Medium,synthetic-design,AUDIT-accounts-ACC-000100
